area,year,revenue
"United States and Canada","Q1 - 2018",1976
"Europe,  Middle East and Africa","Q1 - 2018",887
"Latin America","Q1 - 2018",540
"Asia-Pacific","Q1 - 2018",199
"United States and Canada","Q2 - 2018",2050
"Europe,  Middle East and Africa","Q2 - 2018",975
"Latin America","Q2 - 2018",568
"Asia-Pacific","Q2 - 2018",221
"United States and Canada","Q3 - 2018",2095
"Europe,  Middle East and Africa","Q3 - 2018",1005
"Latin America","Q3 - 2018",562
"Asia-Pacific","Q3 - 2018",249
"United States and Canada","Q4 - 2018",2161
"Europe,  Middle East and Africa","Q4 - 2018",1097
"Latin America","Q4 - 2018",567
"Asia-Pacific","Q4 - 2018",277
"United States and Canada","Q1 - 2019",2257
"Europe,  Middle East and Africa","Q1 - 2019",1233
"Latin America","Q1 - 2019",630
"Asia-Pacific","Q1 - 2019",320
"United States and Canada","Q2 - 2019",2501
"Europe,  Middle East and Africa","Q2 - 2019",1319
"Latin America","Q2 - 2019",677
"Asia-Pacific","Q2 - 2019",349
"United States and Canada","Q3 - 2019",2621
"Europe,  Middle East and Africa","Q3 - 2019",1428
"Latin America","Q3 - 2019",741
"Asia-Pacific","Q3 - 2019",382
"United States and Canada","Q4 - 2019",2672
"Europe,  Middle East and Africa","Q4 - 2019",1563
"Latin America","Q4 - 2019",746
"Asia-Pacific","Q4 - 2019",418
"United States and Canada","Q1 - 2020",2703
"Europe,  Middle East and Africa","Q1 - 2020",1723
"Latin America","Q1 - 2020",793
"Asia-Pacific","Q1 - 2020",484
"United States and Canada","Q2 - 2020",2840
"Europe,  Middle East and Africa","Q2 - 2020",1893
"Latin America","Q2 - 2020",785
"Asia-Pacific","Q2 - 2020",569
"United States and Canada","Q3 - 2020",2933
"Europe,  Middle East and Africa","Q3 - 2020",2019
"Latin America","Q3 - 2020",789
"Asia-Pacific","Q3 - 2020",635
"United States and Canada","Q4 - 2020",2980
"Europe,  Middle East and Africa","Q4 - 2020",2137
"Latin America","Q4 - 2020",789
"Asia-Pacific","Q4 - 2020",685
